Фамилия,Имя,Отчество,Математика,Физика
Babinus,Dilius,Brautor,6,2,9
Fagustin,Bacus,Albonus,1,7,3
Anbelus,Ancio,Donulius,7,5,4
Bidanus,Dutor,Didaes,3,4,8
Befrinus,Autor,Eunulius,7,9,3
Eubunus,Ees,Dudalius,3,3,3
Babucio,Falus,Bagustor,7,2,2
Braulius,Brius,Dagulus,8,1,7
Dobotus,Bitin,Anbinus,5,2,1
Dunules,Dator,Bibonus,6,6,2
Eufritin,Atus,Bifricus,3,2,1
Afritor,Becio,Braunus,8,6,1
Dafricio,Dutus,Braucio,3,5,5
Braunus,Brius,Eubocio,4,8,6
Didalius,Dacio,Egutin,5,5,1
Dibunus,Aulius,Fabitor,2,4,2
Fagucus,Bres,Egutus,8,4,5
Audacio,Elius,Eubulus,9,9,7
Eubicio,Alcus,Dibutin,7,8,4
Aubulius,Falus,Bebutor,9,5,6
Dabitus,Bitus,Anguscus,9,7,3
